date,population,admission,release
2022-10-18,119764.50098372079,2427.373193950548,2775.862940238079
2022-10-19,119467.89690296227,2495.9440130631756,2904.798093821696
2022-10-20,119175.79282220373,2614.194013063176,3163.298093821697
2022-10-21,118824.68874144524,2811.194013063176,2671.8536493772517
2022-10-22,118880.8346606867,2729.3329019520647,1194.1869827105859
2022-10-23,119658.48057992816,1971.3329019520647,1333.6869827105859
2022-10-24,119966.12649916967,1639.999568618731,3119.0848232421467
2022-10-25,119280.29733535464,2436.0023371680113,2678.274078013823
2022-10-26,119185.07951607747,2583.056258736639,2853.274078013823
2022-10-27,118960.8616968003,2629.056258736639,2980.2740780138233
2022-10-28,118789.14387752312,2808.556258736639,2867.607411347156
2022-10-29,118739.09272491258,2817.556258736639,1170.6074113471568
2022-10-30,119469.54157230209,1901.056258736639,1221.1074113471568
2022-10-31,119776.99041969154,1527.8895920699722,3055.274078013823
2022-11-01,118998.27260041436,2274.806258736639,2891.9553529142213
2022-11-02,118625.57470145589,2638.77936630636,2817.477265264819
2022-11-03,118235.37680249747,2428.77936630636,2899.2337522907665
2022-11-04,118205.8276061338,2869.1845559271183,2626.2337522907665
2022-11-05,118414.27840977017,2835.6845559271183,1231.9837522907676
2022-11-06,119360.10421340649,2177.8095559271187,1437.9837522907676
2022-11-07,119496.5966837095,1572.476222593785,3269.4837522907674
2022-11-08,118754.0891540125,2526.976222593785,2608.9875984446126
2022-11-09,118556.6277781617,2542.022376439939,1587.852799909815
2022-11-10,118638.78306897754,1706.1223764399392,1576.9670856241007
2022-11-11,118767.93835979335,1706.1223764399392,1576.9670856241007
2022-11-12,118897.09365060921,1706.1223764399392,1576.9670856241007
2022-11-13,119056.24894142506,1713.6223764399392,718.9670856241008
2022-11-14,119248.27923224091,895.7973764399391,3333.5670856241013
2022-11-15,118344.10952305674,2429.397376439939,2884.0670856241004
2022-11-16,117928.43981387257,2466.683090725653,2914.7337522907674
2022-11-17,117425.27010468842,2412.897376439939,2953.2337522907665
2022-11-18,117120.60039550425,2648.5640431066054,2683.2337522907665
2022-11-19,117073.93068632009,2635.230709773272,1166.300418957434
2022-11-20,117653.4498660248,1752.0529319954946,1272.228196735212
